subject,acc,f1,auc,n_test
S10,0.92,0.8888888888888888,1.0,75
S11,0.6973684210526315,0.5306122448979592,0.7547169811320755,76
S13,0.8666666666666667,0.8148148148148148,1.0,75
S14,0.72,0.5714285714285714,0.7547169811320755,75
S15,0.9066666666666666,0.8679245283018868,1.0,75
S16,0.6986301369863014,0.5217391304347826,0.7647058823529411,73
S17,0.8933333333333333,0.8571428571428571,1.0,75
S2,0.7183098591549296,0.5652173913043478,0.76,71
S3,0.6986301369863014,0.5416666666666666,0.7450980392156863,73
S4,0.9166666666666666,0.875,1.0,72
S5,0.8767123287671232,0.8235294117647058,1.0,73
S6,0.7534246575342466,0.64,0.7647058823529411,73
S7,0.8904109589041096,0.84,1.0,73
S8,0.8918918918918919,0.8518518518518519,1.0,74
S9,0.7222222222222222,0.5652173913043478,0.7647058823529411,72
