subject,acc,f1,auc,n_test
S10,0.9866666666666667,0.9795918367346939,0.9983660130718954,75
S11,0.9868421052631579,0.9787234042553191,1.0,76
S13,0.9466666666666667,0.9166666666666666,0.9931389365351629,75
S14,0.8933333333333333,0.8461538461538461,0.9888507718696399,75
S15,0.8266666666666667,0.6666666666666666,0.9130434782608696,75
S16,1.0,1.0,1.0,73
S17,0.92,0.8888888888888888,0.9967320261437909,75
S2,0.7183098591549296,0.09090909090909091,0.8980952380952381,71
S3,0.7945205479452054,0.6153846153846154,0.7869875222816399,73
S4,0.8055555555555556,0.5,1.0,72
S5,0.958904109589041,0.9333333333333333,1.0,73
S6,0.9863013698630136,0.9777777777777777,0.9973262032085561,73
S7,0.9863013698630136,0.9767441860465116,1.0,73
S8,0.9594594594594594,0.9302325581395349,1.0,74
S9,0.8055555555555556,0.5,0.9140989729225023,72
